eLog: order exec at 1622506327839884112 with id 14073755277983744, side -1, price 1109.6, traded volume 1, volume left on level 37, delta_execsend 4488135936
eLog: order exec at 1622506332276607496 with id 14355230254694400, side 1, price 1109.5, traded volume 1, volume left on level 189, delta_execsend 92160
eLog: order exec at 1622506341674165444 with id 14636705231405056, side -1, price 1109.6, traded volume 1, volume left on level 330, delta_execsend 2178260480
eLog: order exec at 1622506354165252320 with id 14918180208115712, side 1, price 1109.5, traded volume 1, volume left on level 111, delta_execsend 12491086848
eLog: order exec at 1622506451465132516 with id 15199655184826368, side -1, price 1109.1, traded volume 1, volume left on level 442, delta_execsend 12023593728
eLog: order exec at 1622506515229077700 with id 15762605138247680, side -1, price 1109.3, traded volume 1, volume left on level 226, delta_execsend 658432
eLog: order exec at 1622506557311698532 with id 15481130161537024, side 1, price 1109.2, traded volume 1, volume left on level 350, delta_execsend 795904
eLog: order exec at 1622506602976223812 with id 16325555091668992, side -1, price 1109.1, traded volume 1, volume left on level 119, delta_execsend 8589827840
eLog: order exec at 1622506607125775152 with id 16044080114958336, side 1, price 1109, traded volume 1, volume left on level 352, delta_execsend 1582848
eLog: order exec at 1622506677880443008 with id 16607030068379648, side 1, price 1108.9, traded volume 1, volume left on level 506, delta_execsend 1495552
eLog: order exec at 1622506711547117068 with id 16888505045090304, side -1, price 1108.9, traded volume 1, volume left on level 52, delta_execsend 15153143040
eLog: order exec at 1622506724078536892 with id 17169980021800960, side 1, price 1108.8, traded volume 1, volume left on level 20, delta_execsend 12531419904
eLog: order exec at 1622506776409895396 with id 17451454998511616, side -1, price 1108.7, traded volume 1, volume left on level 113, delta_execsend 6242475008
eLog: order exec at 1622506794200861232 with id 17732929975222272, side 1, price 1108.6, traded volume 1, volume left on level 399, delta_execsend 2838272
eLog: order exec at 1622506805331132736 with id 18014404951932928, side -1, price 1108.5, traded volume 1, volume left on level 686, delta_execsend 3362074880
eLog: order exec at 1622506838810708288 with id 18295879928643584, side 1, price 1108.3, traded volume 1, volume left on level 37, delta_execsend 31095005440
eLog: order exec at 1622506866928334760 with id 18577354905354240, side -1, price 1108.4, traded volume 1, volume left on level 208, delta_execsend 28115373568
eLog: order exec at 1622506911557788964 with id 19140304858775552, side -1, price 1108.6, traded volume 1, volume left on level 357, delta_execsend 97536
eLog: order exec at 1622506929055230684 with id 18858829882064896, side 1, price 1108.5, traded volume 1, volume left on level 33, delta_execsend 17497441792
eLog: order exec at 1622506952960472880 with id 19703254812196864, side -1, price 1108.5, traded volume 1, volume left on level 450, delta_execsend 14614425344
eLog: order exec at 1622507220603266648 with id 19421779835486208, side 1, price 1108.5, traded volume 1, volume left on level 207, delta_execsend 2044928
eLog: order exec at 1622507287257610332 with id 19984729788907520, side 1, price 1108.3, traded volume 1, volume left on level 2, delta_execsend 1908224
eLog: order exec at 1622507333828638984 with id 20266204765618176, side -1, price 1108.4, traded volume 1, volume left on level 444, delta_execsend 1313024
eLog: order exec at 1622507371946553016 with id 20547679742328832, side 1, price 1108.3, traded volume 1, volume left on level 307, delta_execsend 2173952
eLog: order exec at 1622507519117694360 with id 20829154719039488, side -1, price 1108, traded volume 1, volume left on level 136, delta_execsend 33364054528
eLog: order exec at 1622507544837641304 with id 21110629695750144, side 1, price 1108, traded volume 1, volume left on level 77, delta_execsend 15253638400
eLog: order exec at 1622507562827533444 with id 21392104672460800, side -1, price 1108.1, traded volume 1, volume left on level 101, delta_execsend 1458944
eLog: order exec at 1622507629664943932 with id 21673579649171456, side 1, price 1108.1, traded volume 1, volume left on level 500, delta_execsend 32846089728
eLog: order exec at 1622508031136495420 with id 21955054625882112, side -1, price 1108, traded volume 1, volume left on level 157, delta_execsend 63011907840
eLog: order exec at 1622508108593545808 with id 22518004579303424, side -1, price 1108.1, traded volume 1, volume left on level 128, delta_execsend 77446535680
eLog: order exec at 1622508407397655292 with id 22236529602592768, side 1, price 1108, traded volume 1, volume left on level 94, delta_execsend 76408229120
eLog: order exec at 1622508455521837156 with id 22799479556014080, side 1, price 1107.9, traded volume 1, volume left on level 474, delta_execsend 526592
eLog: order exec at 1622508803898177480 with id 23080954532724736, side -1, price 1108.3, traded volume 1, volume left on level 479, delta_execsend 1737216
eLog: order exec at 1622508864680675800 with id 23362429509435392, side 1, price 1108.2, traded volume 1, volume left on level 427, delta_execsend 346624
eLog: order exec at 1622509119120876096 with id 23643904486146048, side -1, price 1108.3, traded volume 1, volume left on level 167, delta_execsend 81272788992
eLog: order exec at 1622509137738053028 with id 23925379462856704, side 1, price 1108.2, traded volume 1, volume left on level 296, delta_execsend 569600
eLog: order exec at 1622509319101865128 with id 24206854439567360, side -1, price 1108.6, traded volume 1, volume left on level 376, delta_execsend 3583232
eLog: order exec at 1622509389671135420 with id 24488329416278016, side 1, price 1108.5, traded volume 1, volume left on level 173, delta_execsend 2492672
eLog: order exec at 1622509709142414500 with id 24769804392988672, side -1, price 1108.3, traded volume 1, volume left on level 377, delta_execsend 2241792
eLog: order exec at 1622509731482698088 with id 25051279369699328, side 1, price 1108.2, traded volume 1, volume left on level 145, delta_execsend 22340283392
eLog: order exec at 1622509878803807488 with id 25332754346409984, side -1, price 1108.2, traded volume 1, volume left on level 444, delta_execsend 30836945408
eLog: order exec at 1622509884196879644 with id 25614229323120640, side 1, price 1108.1, traded volume 1, volume left on level 386, delta_execsend 1920256
eLog: order exec at 1622510235498712820 with id 25895704299831296, side -1, price 1107.7, traded volume 1, volume left on level 429, delta_execsend 1871872
eLog: order exec at 1622510361698814068 with id 26177179276541952, side 1, price 1107.6, traded volume 1, volume left on level 441, delta_execsend 2322944
eLog: order exec at 1622510476422177104 with id 26458654253252608, side -1, price 1107.7, traded volume 1, volume left on level 528, delta_execsend 14912936192
eLog: order exec at 1622510512567764072 with id 27021604206673920, side -1, price 1107.8, traded volume 1, volume left on level 15, delta_execsend 2555392
eLog: order exec at 1622510551511862216 with id 26740129229963264, side 1, price 1107.9, traded volume 1, volume left on level 341, delta_execsend 1103872
eLog: order exec at 1622510672600411936 with id 27584554160095232, side -1, price 1107.8, traded volume 1, volume left on level 578, delta_execsend 2568192
eLog: order exec at 1622511107224444656 with id 27303079183384576, side 1, price 1108.2, traded volume 1, volume left on level 15, delta_execsend 34974956800
eLog: order exec at 1622511149527549372 with id 27866029136805888, side 1, price 1108.1, traded volume 1, volume left on level 146, delta_execsend 31122028800
eLog: order exec at 1622511198110208824 with id 28147504113516544, side -1, price 1108.2, traded volume 1, volume left on level 137, delta_execsend 45387543040
eLog: order exec at 1622511237886217056 with id 28428979090227200, side 1, price 1107.7, traded volume 1, volume left on level 4, delta_execsend 6539160576
eLog: order exec at 1622511299131534276 with id 28710454066937856, side -1, price 1107.7, traded volume 1, volume left on level 69, delta_execsend 10561982976
eLog: order exec at 1622511345066672256 with id 29273404020359168, side -1, price 1107.6, traded volume 1, volume left on level 125, delta_execsend 12187703808
eLog: order exec at 1622511606503812220 with id 28991929043648512, side 1, price 1107.5, traded volume 1, volume left on level 785, delta_execsend 1131008
eLog: order exec at 1622511619319136656 with id 29836353973780480, side -1, price 1107.6, traded volume 1, volume left on level 316, delta_execsend 1408512
eLog: order exec at 1622511629773431388 with id 29554878997069824, side 1, price 1107.5, traded volume 1, volume left on level 406, delta_execsend 10454294528
eLog: order exec at 1622511680871901632 with id 30399303927201792, side -1, price 1107.4, traded volume 1, volume left on level 159, delta_execsend 44081193984
eLog: order exec at 1622511864063384228 with id 30117828950491136, side 1, price 1107.7, traded volume 1, volume left on level 439, delta_execsend 2147584
eLog: order exec at 1622511949253377308 with id 30680778903912448, side 1, price 1107.6, traded volume 1, volume left on level 32, delta_execsend 82485773824
eLog: order exec at 1622512058597267032 with id 30962253880623104, side -1, price 1107.6, traded volume 1, volume left on level 17, delta_execsend 29654942464
eLog: order exec at 1622512169010051632 with id 31525203834044416, side -1, price 1107.6, traded volume 1, volume left on level 367, delta_execsend 658688
eLog: order exec at 1622512229272658248 with id 31243728857333760, side 1, price 1107.4, traded volume 1, volume left on level 469, delta_execsend 368384
eLog: order exec at 1622512240313512920 with id 32088153787465728, side -1, price 1107.5, traded volume 1, volume left on level 5, delta_execsend 2733536000
eLog: order exec at 1622512415095703016 with id 31806678810755072, side 1, price 1106.8, traded volume 1, volume left on level 58, delta_execsend 7391576576
eLog: order exec at 1622512417733270904 with id 32369628764176384, side 1, price 1106.7, traded volume 1, volume left on level 1, delta_execsend 2637567744
eLog: order exec at 1622512423615276832 with id 32651103740887040, side -1, price 1106.8, traded volume 1, volume left on level 342, delta_execsend 1971712
eLog: order exec at 1622512426361955924 with id 32932578717597696, side 1, price 1106.7, traded volume 1, volume left on level 304, delta_execsend 3632896
eLog: order exec at 1622512478740023744 with id 33214053694308352, side -1, price 1106.5, traded volume 1, volume left on level 86, delta_execsend 30547313152
eLog: order exec at 1622512500863377216 with id 33495528671019008, side 1, price 1106.4, traded volume 1, volume left on level 57, delta_execsend 22117304832
eLog: order exec at 1622512545176233804 with id 33777003647729664, side -1, price 1106.6, traded volume 1, volume left on level 44, delta_execsend 42142599168
eLog: order exec at 1622512636187973704 with id 34058478624440320, side 1, price 1106.5, traded volume 1, volume left on level 636, delta_execsend 2953216
eLog: order exec at 1622512648026981036 with id 34339953601150976, side -1, price 1106.4, traded volume 1, volume left on level 728, delta_execsend 390188288
eLog: order exec at 1622512792771003496 with id 34621428577861632, side 1, price 1106.3, traded volume 1, volume left on level 399, delta_execsend 10365592832
eLog: order exec at 1622512815197487876 with id 34902903554572288, side -1, price 1106.5, traded volume 1, volume left on level 5, delta_execsend 15701817088
eLog: order exec at 1622512829196310040 with id 35184378531282944, side 1, price 1106.4, traded volume 1, volume left on level 359, delta_execsend 526080
eLog: order exec at 1622512859422793080 with id 35465853507993600, side -1, price 1106.5, traded volume 1, volume left on level 572, delta_execsend 1257984
eLog: order exec at 1622512950496649032 with id 35747328484704256, side 1, price 1106.4, traded volume 1, volume left on level 319, delta_execsend 546816
eLog: order exec at 1622513123494994712 with id 36028803461414912, side -1, price 1105.8, traded volume 1, volume left on level 60, delta_execsend 7264411648
eLog: order exec at 1622513129037585280 with id 36310278438125568, side 1, price 1105.7, traded volume 1, volume left on level 387, delta_execsend 5542590720
eLog: order exec at 1622513155650786744 with id 36591753414836224, side -1, price 1105.8, traded volume 1, volume left on level 12, delta_execsend 11098536960
eLog: order exec at 1622513205349020024 with id 36873228391546880, side 1, price 1105.6, traded volume 1, volume left on level 820, delta_execsend 10853055488
eLog: order exec at 1622513215370775772 with id 37154703368257536, side -1, price 1105.7, traded volume 1, volume left on level 30, delta_execsend 10021755904
eLog: order exec at 1622513258587359024 with id 37436178344968192, side 1, price 1105.7, traded volume 1, volume left on level 284, delta_execsend 8013059584
eLog: order exec at 1622513415037263180 with id 37717653321678848, side -1, price 1106.1, traded volume 1, volume left on level 29, delta_execsend 15766433536
eLog: order exec at 1622513448116146616 with id 37999128298389504, side 1, price 1106, traded volume 1, volume left on level 67, delta_execsend 1134848
eLog: order exec at 1622514069986606860 with id 38280603275100160, side -1, price 1105.7, traded volume 1, volume left on level 463, delta_execsend 625408
eLog: order exec at 1622514119035883896 with id 38562078251810816, side 1, price 1105.7, traded volume 1, volume left on level 113, delta_execsend 42099851264
eLog: order exec at 1622514128389467432 with id 38843553228521472, side -1, price 1105.8, traded volume 1, volume left on level 602, delta_execsend 3203584
eLog: order exec at 1622514141548642052 with id 39125028205232128, side 1, price 1105.7, traded volume 1, volume left on level 356, delta_execsend 1227520
eLog: order exec at 1622514779713768048 with id 39406503181942784, side -1, price 1106.1, traded volume 1, volume left on level 483, delta_execsend 2431488
eLog: order exec at 1622514823878134564 with id 39969453135364096, side -1, price 1106.3, traded volume 1, volume left on level 422, delta_execsend 3130624
eLog: order exec at 1622514956608626024 with id 39687978158653440, side 1, price 1106.3, traded volume 1, volume left on level 627, delta_execsend 644608
eLog: order exec at 1622515011472542160 with id 40250928112074752, side 1, price 1106.4, traded volume 1, volume left on level 488, delta_execsend 7435374592
eLog: order exec at 1622515153208347996 with id 40532403088785408, side -1, price 1106.4, traded volume 1, volume left on level 213, delta_execsend 29856935680
eLog: order exec at 1622515251851041488 with id 41095353042206720, side -1, price 1106.7, traded volume 1, volume left on level 680, delta_execsend 2406144
eLog: order exec at 1622515265538491748 with id 40813878065496064, side 1, price 1106.6, traded volume 1, volume left on level 33, delta_execsend 13687450112
eLog: order exec at 1622515278510447840 with id 41376828018917376, side 1, price 1106.4, traded volume 1, volume left on level 1, delta_execsend 2022912
eLog: order exec at 1622515585593125756 with id 41658302995628032, side -1, price 1106.2, traded volume 1, volume left on level 379, delta_execsend 2492672
eLog: order exec at 1622515765516824304 with id 41939777972338688, side 1, price 1106.1, traded volume 1, volume left on level 519, delta_execsend 454656
eLog: order exec at 1622516094520427148 with id 42221252949049344, side -1, price 1105.7, traded volume 1, volume left on level 466, delta_execsend 1614080
eLog: order exec at 1622516177242447696 with id 42784202902470656, side -1, price 1105.8, traded volume 1, volume left on level 12, delta_execsend 81829126912
eLog: order exec at 1622516470580557076 with id 42502727925760000, side 1, price 1105.9, traded volume 1, volume left on level 8, delta_execsend 52438440448
eLog: order exec at 1622516490470378336 with id 43065677879181312, side 1, price 1105.8, traded volume 1, volume left on level 402, delta_execsend 19889821184
eLog: order exec at 1622516670439773396 with id 43347152855891968, side -1, price 1105.8, traded volume 1, volume left on level 35, delta_execsend 3506688
eLog: order exec at 1622516763369630124 with id 43628627832602624, side 1, price 1105.8, traded volume 1, volume left on level 305, delta_execsend 61612844544
eLog: order exec at 1622516786573218092 with id 43910102809313280, side -1, price 1105.9, traded volume 1, volume left on level 29, delta_execsend 23203587840
eLog: order exec at 1622516805707618636 with id 44473052762734592, side -1, price 1106.1, traded volume 1, volume left on level 154, delta_execsend 19134400512
eLog: order exec at 1622517195050044584 with id 44191577786023936, side 1, price 1106.5, traded volume 1, volume left on level 43, delta_execsend 1570560
eLog: order exec at 1622517246857247440 with id 45036002716155904, side -1, price 1106.6, traded volume 1, volume left on level 330, delta_execsend 472320
eLog: order exec at 1622517300175988332 with id 44754527739445248, side 1, price 1106.6, traded volume 1, volume left on level 414, delta_execsend 45702352128
eLog: order exec at 1622517420364408752 with id 45317477692866560, side 1, price 1106.5, traded volume 1, volume left on level 2, delta_execsend 80725550592
eLog: order exec at 1622517611218758172 with id 45598952669577216, side -1, price 1106, traded volume 1, volume left on level 430, delta_execsend 1855488
eLog: order exec at 1622517638325113064 with id 45880427646287872, side 1, price 1106, traded volume 1, volume left on level 41, delta_execsend 14491332096
eLog: order exec at 1622517835366256932 with id 46161902622998528, side -1, price 1105.8, traded volume 1, volume left on level 15, delta_execsend 99977140224
eLog: order exec at 1622517864705082540 with id 46443377599709184, side 1, price 1105.7, traded volume 1, volume left on level 51, delta_execsend 29334638848
eLog: order exec at 1622518785782376904 with id 46724852576419840, side -1, price 1105.3, traded volume 1, volume left on level 27, delta_execsend 294508255232
eLog: order exec at 1622518880284281460 with id 47287802529841152, side -1, price 1105.3, traded volume 1, volume left on level 33, delta_execsend 43264031488
eLog: order exec at 1622519274874349344 with id 47006327553130496, side 1, price 1105.4, traded volume 1, volume left on level 298, delta_execsend 1185024
eLog: order exec at 1622519522845783180 with id 47569277506551808, side 1, price 1105.3, traded volume 1, volume left on level 91, delta_execsend 245661074176
eLog: order exec at 1622519553890093932 with id 47850752483262464, side -1, price 1105.4, traded volume 1, volume left on level 68, delta_execsend 30894388480
eLog: order exec at 1622519867587417700 with id 48132227459973120, side 1, price 1105.7, traded volume 1, volume left on level 100, delta_execsend 1930240
eLog: order exec at 1622520149095679472 with id 48413702436683776, side -1, price 1105.6, traded volume 1, volume left on level 11, delta_execsend 53271491584
eLog: order exec at 1622520452147443932 with id 48695177413394432, side 1, price 1105.5, traded volume 1, volume left on level 72, delta_execsend 94946382848
eLog: order exec at 1622520870125759184 with id 48976652390105088, side -1, price 1105.4, traded volume 1, volume left on level 1, delta_execsend 137274222848
eLog: order exec at 1622520924036485248 with id 49539602343526400, side -1, price 1105.4, traded volume 1, volume left on level 349, delta_execsend 3013376
eLog: order exec at 1622521350397381740 with id 49258127366815744, side 1, price 1105.8, traded volume 1, volume left on level 105, delta_execsend 112720726272
eLog: order exec at 1622521503498386832 with id 49821077320237056, side 1, price 1105.8, traded volume 1, volume left on level 462, delta_execsend 1340928
eLog: order exec at 1622521853189721064 with id 50102552296947712, side -1, price 1105.6, traded volume 1, volume left on level 4, delta_execsend 83484984064
eLog: order exec at 1622521857259732196 with id 50665502250369024, side -1, price 1105.7, traded volume 1, volume left on level 654, delta_execsend 83712
eLog: order exec at 1622521927903125660 with id 50384027273658368, side 1, price 1105.9, traded volume 1, volume left on level 64, delta_execsend 12114158592
eLog: order exec at 1622521940813050904 with id 50946977227079680, side 1, price 1105.7, traded volume 1, volume left on level 28, delta_execsend 10404180992
eLog: order exec at 1622522187287090396 with id 51228452203790336, side -1, price 1105.8, traded volume 1, volume left on level 403, delta_execsend 1437952
eLog: order exec at 1622522212018931312 with id 51509927180500992, side 1, price 1105.7, traded volume 1, volume left on level 284, delta_execsend 15953348608
eLog: order exec at 1622522528299450980 with id 51791402157211648, side -1, price 1105.9, traded volume 1, volume left on level 299, delta_execsend 750336
eLog: order exec at 1622522666130381324 with id 52072877133922304, side 1, price 1105.8, traded volume 1, volume left on level 40, delta_execsend 826112
eLog: order exec at 1622522866626874616 with id 52354352110632960, side -1, price 1106.1, traded volume 1, volume left on level 623, delta_execsend 3426560
